log_time,BAOJIA,CAS,COD,CORE,CORETEST,DG,ESX,IMS,ODS,POSP,QPAY,SFGO,SYPAY,SYPAYTEST,TMS
2017-02-27 10:52:02,581,0,0,2104,6,765,4296,25,801,83,25,102,0,3,1655
2017-02-27 10:53:02,330,0,0,1076,5,815,3416,22,685,77,26,103,0,3,1569
2017-02-27 10:54:02,595,0,0,1296,5,834,2821,22,3368,79,26,114,0,4,1543
2017-02-27 10:55:03,354,0,0,1002,5,810,3043,22,2108,81,26,93,0,4,1594
2017-02-27 10:56:03,626,0,0,1112,3,890,3268,25,798,513,26,80,0,2,1757
2017-02-27 10:57:03,419,0,0,986,5,778,3878,25,1167,506,27,109,0,3,1710
2017-02-27 10:58:03,386,0,0,1022,6,831,4170,22,1217,88,26,106,0,4,1648
2017-02-27 10:59:03,637,0,0,1011,5,784,2533,22,1983,92,26,114,0,3,1792
2017-02-27 11:00:03,429,0,0,1259,7,768,2605,22,773,229,26,120,0,3,1679
2017-02-27 11:01:03,626,0,0,2459,4,862,4761,25,2639,266,26,133,0,3,1645
2017-02-27 11:02:03,483,0,0,1410,5,784,2680,25,1766,228,26,109,0,2,1641
2017-02-27 11:03:03,553,0,0,2454,5,785,2373,22,2585,465,26,110,0,4,1673
2017-02-27 11:04:03,457,0,0,973,3069,750,2686,22,709,933,26,106,0,3,1672
2017-02-27 11:05:04,471,0,0,1434,3289,827,2927,22,1084,108,26,123,0,10,2163
2017-02-27 11:06:04,3332,0,0,1827,6,835,2437,25,2707,921,26,127,0,3,1398
2017-02-27 11:07:04,757,0,0,1174,6,758,2383,26,1742,80,26,108,0,2,2382
2017-02-27 11:08:04,778,0,0,2506,6,755,2287,22,1275,83,26,108,0,4,1734
2017-02-27 11:09:04,444,0,0,1003,8,803,2241,22,2033,94,27,107,0,4,1744
2017-02-27 11:10:04,481,0,0,1236,19,818,2403,22,1817,79,26,112,0,9,1757
2017-02-27 11:11:04,451,0,0,1147,4,807,3007,25,2038,139,26,114,0,3,1771
2017-02-27 11:12:04,526,0,0,961,6,765,2554,25,2175,226,30,183,0,3,1555
2017-02-27 11:13:04,418,0,0,1108,27,712,2469,22,2349,81,29,169,0,2,1765
2017-02-27 11:14:04,642,0,0,952,6,782,2845,22,2419,79,32,134,0,3,1873
2017-02-27 11:15:04,367,0,0,963,5,774,2930,22,2625,99,26,100,0,4,1699
2017-02-27 11:16:05,499,0,0,936,6,793,2415,25,2681,81,26,110,0,2,1880
2017-02-27 11:17:05,463,0,0,1077,23,753,2372,25,1704,79,26,117,0,3,1791
2017-02-27 11:18:05,367,0,0,915,13,759,2349,22,1281,77,26,284,0,4,1852
2017-02-27 11:19:05,301,0,0,912,4174,729,2380,22,897,73,25,250,0,3,1211
2017-02-27 11:20:05,482,0,0,1026,5157,800,2442,22,978,102,26,109,0,4,1031
2017-02-27 11:21:05,475,0,0,883,410,827,2990,25,1619,75,26,114,0,3,1665
2017-02-27 11:22:05,391,0,0,964,4,751,2545,25,724,75,26,126,0,2,1883
2017-02-27 11:23:05,443,0,0,1338,5,741,2421,22,625,94,26,85,0,4,1751
2017-02-27 11:24:05,283,0,0,2344,7,716,2763,22,584,76,26,104,0,4,2379
2017-02-27 11:25:05,358,0,0,1513,8,757,2664,22,644,495,26,225,0,4,1904
2017-02-27 11:26:06,2521,0,0,959,5,816,2250,25,1174,96,26,105,0,3,1723
2017-02-27 11:27:06,945,0,0,918,5,704,2333,25,793,501,26,112,0,3,1669
2017-02-27 11:28:06,527,0,0,936,7,698,2369,22,915,903,25,102,0,4,1915
2017-02-27 11:29:06,386,0,0,900,4,691,2356,22,820,72,26,104,0,3,1856
2017-02-27 11:30:06,557,0,0,1106,5,749,2461,22,728,502,26,112,0,3,1781
2017-02-27 11:31:06,362,0,0,1286,5,718,3322,36,717,86,26,104,0,2,1868
2017-02-27 11:32:06,606,0,0,905,5,1108,2412,26,627,847,26,123,0,3,1825
2017-02-27 11:33:06,500,0,0,892,5,711,2440,22,655,151,26,188,0,4,1796
2017-02-27 11:34:06,453,0,0,886,3209,706,2934,22,678,72,26,209,0,4,1344
2017-02-27 11:35:06,417,0,0,959,2859,730,2821,22,857,80,26,95,0,4,1640
2017-02-27 11:36:07,444,0,0,928,7,877,2335,25,1010,82,26,107,0,3,1946
2017-02-27 11:37:07,322,0,0,854,43,709,2322,25,612,86,27,104,0,2,1875
2017-02-27 11:38:07,476,0,0,895,6,698,2318,22,1157,90,26,108,0,4,1746
2017-02-27 11:39:07,308,0,0,820,6,690,2280,22,605,69,26,114,0,4,1885
2017-02-27 11:40:07,365,0,0,881,6,716,2314,22,792,77,26,106,0,3,1851
2017-02-27 11:41:07,492,0,0,1338,8,895,3036,25,643,77,26,107,0,3,1755
2017-02-27 11:42:07,337,0,0,869,9,757,2461,25,638,76,28,149,0,3,1720
2017-02-27 11:43:07,259,0,0,860,6,681,2506,22,598,76,26,103,0,2,1843
2017-02-27 11:44:07,484,0,0,842,6,676,2798,22,610,77,25,103,0,3,1922
2017-02-27 11:45:07,368,0,0,850,4,743,2612,22,774,96,26,107,0,3,1664
2017-02-27 11:46:08,2601,0,0,880,4,846,2278,25,593,73,26,105,0,2,1700
2017-02-27 11:47:08,591,0,0,909,5,677,2247,25,689,81,26,100,0,3,1878
2017-02-27 11:48:08,472,0,0,852,5,664,2248,22,702,75,26,108,0,3,1947
2017-02-27 11:49:08,367,0,0,808,4352,681,2231,22,539,77,26,104,0,3,1135
2017-02-27 11:50:08,596,0,0,823,5119,780,2303,22,563,76,26,224,0,3,989
2017-02-27 11:51:08,374,0,0,862,110,740,3137,25,1135,85,26,87,0,3,1758
2017-02-27 11:52:08,444,0,0,731,6,681,2249,25,558,84,25,105,0,3,1884
2017-02-27 11:53:08,383,0,0,796,5,681,2309,22,556,85,26,101,0,3,1790
2017-02-27 11:54:08,282,0,0,917,6,676,3352,22,536,74,26,80,0,4,1671
2017-02-27 11:55:08,479,0,0,807,6,758,2456,22,707,75,26,113,0,3,1941
2017-02-27 11:56:09,380,0,0,854,5,796,2236,25,1279,73,26,102,0,3,2519
2017-02-27 11:57:09,549,0,0,742,5,667,2162,25,644,88,26,103,0,3,2856
2017-02-27 11:58:09,309,0,0,993,7,667,2294,26,564,96,25,99,0,3,1703
2017-02-27 11:59:09,349,0,0,738,8,674,2308,22,629,66,26,112,0,3,1860
2017-02-27 12:00:09,363,0,0,1569,5,759,3424,22,719,234,26,136,0,4,1926
2017-02-27 12:01:09,1041,0,0,4947,5,1101,3960,25,2382,113,26,331,0,2,1430
2017-02-27 12:02:09,435,0,0,4965,6,730,2445,25,704,72,25,224,0,3,1680
2017-02-27 12:03:09,417,0,0,4621,5,645,2383,22,638,73,25,183,0,4,1924
2017-02-27 12:04:09,301,0,0,2147,3592,623,2712,22,748,73,26,294,0,9,1315
2017-02-27 12:05:09,505,0,0,1357,2666,670,2519,22,951,75,29,158,0,3,1817
2017-02-27 12:06:10,3116,0,0,1057,6,727,2338,25,1792,108,26,231,0,3,1684
2017-02-27 12:07:10,516,0,0,759,5,615,2143,25,998,927,25,143,0,2,1841
2017-02-27 12:08:10,397,0,0,691,4,647,2223,22,914,1128,26,132,0,3,1733
2017-02-27 12:09:10,367,0,0,676,9,676,2230,22,827,152,25,170,0,8,1789
2017-02-27 12:10:10,449,0,0,841,17,756,2256,22,977,78,25,146,0,2,1716
2017-02-27 12:11:10,433,0,0,813,5,647,2912,25,1001,226,25,108,0,3,1585
2017-02-27 12:12:10,383,0,0,753,7,595,2364,25,878,71,28,142,0,3,1918
2017-02-27 12:13:10,280,0,0,711,7,607,2400,22,661,134,26,97,0,2,2054
2017-02-27 12:14:10,313,0,0,706,4,601,2866,22,581,65,26,87,0,3,1776
2017-02-27 12:15:10,549,0,0,785,4,643,2405,22,611,91,26,89,0,3,1720
2017-02-27 12:16:11,356,0,0,715,4,667,2164,25,821,74,25,97,0,2,2014
2017-02-27 12:17:11,450,0,0,753,8,648,2137,25,482,67,27,99,0,3,1888
2017-02-27 12:18:11,238,0,0,730,5,641,2195,22,618,70,26,101,0,4,1775
2017-02-27 12:19:11,257,0,0,644,4619,594,2225,22,507,72,26,92,0,4,1001
2017-02-27 12:20:11,317,0,0,722,5583,680,2420,22,547,72,26,105,0,4,1534
2017-02-27 12:21:11,346,0,0,696,5,631,2763,25,912,73,25,105,0,3,2038
2017-02-27 12:22:11,313,0,0,682,5,663,2060,25,641,69,26,102,0,2,1821
2017-02-27 12:23:11,312,0,0,678,5,635,2274,22,558,75,26,123,0,4,2092
2017-02-27 12:24:11,276,0,0,660,7,655,2806,22,510,64,25,100,0,5,1768
2017-02-27 12:25:11,333,0,0,655,5,704,2240,22,536,85,25,99,0,3,2038
2017-02-27 12:26:12,1980,0,0,593,6,611,2107,25,523,73,25,101,0,3,1579
2017-02-27 12:27:12,521,0,0,655,5,609,2118,25,626,80,26,102,0,3,2076
2017-02-27 12:28:12,324,0,0,691,5,605,2168,22,613,83,25,105,0,3,1773
2017-02-27 12:29:12,424,0,0,647,5,627,2154,22,479,506,26,102,0,3,1780
2017-02-27 12:30:12,381,0,0,769,6,736,2538,22,487,181,26,105,0,3,1760
2017-02-27 12:31:12,295,0,0,649,5,699,2872,25,491,78,26,105,0,2,1948
2017-02-27 12:32:12,324,0,0,553,7,576,2232,25,487,64,25,97,0,3,1782
2017-02-27 12:33:12,391,0,0,664,5,609,2350,22,520,70,26,102,0,4,1813
2017-02-27 12:34:12,264,0,0,626,5116,586,2769,22,575,64,26,79,0,4,1561
2017-02-27 12:35:12,597,0,0,678,2107,682,2779,22,625,73,26,103,0,4,1898
2017-02-27 12:36:13,310,0,0,657,5,598,2097,25,430,82,25,102,0,3,1658
2017-02-27 12:37:13,327,0,0,667,7,578,2065,25,469,66,26,112,0,2,1922
2017-02-27 12:38:13,314,0,0,660,4,581,2232,22,502,66,25,100,0,3,1746
2017-02-27 12:39:13,291,0,0,591,7,563,2221,22,476,70,26,110,0,5,1833
2017-02-27 12:40:13,536,0,0,643,4,739,2451,22,589,69,25,216,0,2,1730
2017-02-27 12:41:13,482,0,0,693,5,801,2729,25,502,75,26,108,0,3,2930
2017-02-27 12:42:13,305,0,0,677,6,761,2073,25,548,63,29,147,0,3,1860
2017-02-27 12:43:13,280,0,0,748,6,786,2307,22,494,67,26,101,0,2,1818
2017-02-27 12:44:13,310,0,0,566,5,602,2949,22,815,65,26,106,0,3,1785
2017-02-27 12:45:13,482,0,0,723,5,623,2319,22,747,70,26,106,0,3,2500
2017-02-27 12:46:14,1775,0,0,739,5,625,2150,25,518,64,26,103,0,2,2161
2017-02-27 12:47:14,773,0,0,830,6,608,2164,25,608,65,26,102,0,3,2510
2017-02-27 12:48:14,465,0,0,776,5,589,2136,22,586,78,26,101,0,4,1835
2017-02-27 12:49:14,424,0,0,627,5045,595,2080,22,511,65,26,81,0,3,1064
2017-02-27 12:50:14,413,0,0,623,4958,659,2371,22,568,67,38,171,0,3,999
2017-02-27 12:51:14,329,0,0,689,5,727,2697,25,498,895,26,109,0,3,1903
2017-02-27 12:52:14,361,0,0,649,7,632,2169,25,869,68,26,107,0,2,1891
2017-02-27 12:53:14,350,0,0,605,4,568,2314,22,381,62,26,104,0,4,1923
2017-02-27 12:54:14,221,0,0,1316,8,534,2793,22,459,62,26,85,0,4,1759
2017-02-27 12:55:14,506,0,0,596,4,609,2300,22,509,66,26,124,0,2,1761
2017-02-27 12:56:15,314,0,0,687,4,560,2202,25,500,61,26,112,0,3,1993
2017-02-27 12:57:15,391,0,0,811,4,555,2126,25,478,78,25,108,0,3,1856
2017-02-27 12:58:15,263,0,0,634,5,594,2249,22,492,67,26,101,0,4,1782
2017-02-27 12:59:15,276,0,0,483,4,592,2107,22,464,64,25,100,0,3,1860
2017-02-27 13:00:15,463,0,0,727,5,662,3876,22,961,67,26,105,0,3,1923
2017-02-27 13:01:15,492,0,0,867,5,831,3575,25,1298,90,26,135,0,3,1670
2017-02-27 13:02:15,436,0,0,615,6,567,2193,25,565,65,25,101,0,3,1919
2017-02-27 13:03:15,610,0,0,531,4,554,2319,22,512,65,25,102,0,3,1921
2017-02-27 13:04:15,283,0,0,556,4187,549,2851,22,463,61,26,105,0,9,1123
2017-02-27 13:05:15,1036,0,0,728,2063,700,2260,22,647,62,26,107,0,3,1779
2017-02-27 13:06:16,1347,0,0,879,5,737,2093,25,1129,75,26,122,0,3,1802
2017-02-27 13:07:16,695,0,0,702,7,662,2063,25,652,65,26,101,0,3,1923
2017-02-27 13:08:16,418,0,0,771,4,553,2212,22,653,60,26,101,0,4,1834
2017-02-27 13:09:16,340,0,0,556,11,540,2115,22,472,60,26,99,0,9,1820
2017-02-27 13:10:16,447,0,0,756,15,665,2470,22,577,68,26,120,0,3,1844
2017-02-27 13:11:16,316,0,0,708,4,689,2862,25,510,62,26,103,0,3,1927
2017-02-27 13:12:16,319,0,0,773,4,572,2053,25,501,65,29,147,0,3,1923
2017-02-27 13:13:16,215,0,0,639,5,554,2284,22,456,65,26,110,0,4,1948
2017-02-27 13:14:16,317,0,0,560,4,516,2734,22,523,65,26,79,0,4,1858
2017-02-27 13:15:16,569,0,0,852,5,634,2265,22,544,74,26,111,0,3,1742
2017-02-27 13:16:17,284,0,0,1406,5,723,2097,25,478,77,26,219,0,3,1898
2017-02-27 13:17:17,369,0,0,1712,6,643,2108,25,472,66,25,192,0,3,1781
2017-02-27 13:18:17,285,0,0,2426,4,549,2159,22,763,67,26,111,0,3,1807
2017-02-27 13:19:17,274,0,0,473,5110,536,2055,22,549,64,26,101,0,3,919
2017-02-27 13:20:17,323,0,0,760,4949,640,2249,22,792,64,26,103,0,4,1311
2017-02-27 13:21:17,439,0,0,718,6,558,2699,25,599,65,26,102,0,3,1929
2017-02-27 13:22:17,434,0,0,619,6,519,2367,25,1059,64,27,100,0,3,1690
2017-02-27 13:23:17,421,0,0,776,5,553,2425,22,532,64,26,104,0,4,1882
2017-02-27 13:24:17,341,0,0,697,7,542,2922,22,1207,62,26,105,0,5,1775
2017-02-27 13:25:17,507,0,0,680,6,633,2341,22,510,63,26,103,0,3,1680
2017-02-27 13:26:18,1497,0,0,711,5,562,2158,25,482,64,26,104,0,3,1785
2017-02-27 13:27:18,797,0,0,651,6,504,2093,25,612,82,25,114,0,3,1924
2017-02-27 13:28:18,340,0,0,754,6,534,2256,22,763,65,26,99,0,3,1653
2017-02-27 13:29:18,294,0,0,644,4,528,2194,22,549,63,26,109,0,3,1919
2017-02-27 13:30:18,375,0,0,690,5,646,2695,22,1265,67,26,152,0,3,1058
2017-02-27 13:31:18,241,0,0,574,5,537,2828,25,621,81,25,106,0,3,1763
2017-02-27 13:32:18,322,0,0,600,7,495,2224,25,465,65,25,100,0,3,1876
