"date","s_max","m_max","h_max"
"2016/6/1","165","2234","4732"
"2016/6/2","42","499","2394"
"2016/6/3","40","1057","9322"
"2016/6/4","40","532","1917"
"2016/6/5","45","542","1626"
"2016/6/6","45","604","2465"
"2016/6/7","44","549","2188"
"2016/6/8","44","559","2532"
"2016/6/9","51","634","1549"
"2016/6/10","81","1046","2152"
"2016/6/11","59","739","1680"
"2016/6/12","52","649","2094"
"2016/6/13","51","617","3201"
"2016/6/14","53","664","2088"
"2016/6/15","51","740","2332"
"2016/6/16","72","909","2403"
"2016/6/17","56","1201","8664"
"2016/6/18","60","776","2155"
"2016/6/19","62","859","2215"
"2016/6/20","52","739","3909"
"2016/6/21","59","817","3624"
"2016/6/22","59","805","2487"
"2016/6/23","67","876","2379"
"2016/6/24","54","808","4230"
"2016/6/25","61","785","2133"
"2016/6/26","50","700","1792"
"2016/6/27","43","592","2804"
"2016/6/28","48","731","2485"
"2016/6/29","16","291","2127"
"2016/6/30","15","659","2779"
"2016/7/1","150","2429","4963"
"2016/7/2","27","519","1662"
"2016/7/3","29","562","2188"
"2016/7/4","32","616","3109"
"2016/7/5","47","1177","7608"
"2016/7/6","35","752","12476"
"2016/7/7","28","630","2952"
"2016/7/8","39","630","2603"
"2016/7/9","28","614","2123"
"2016/7/10","45","1001","2231"
"2016/7/11","32","795","2747"
"2016/7/12","31","698","2320"
"2016/7/13","29","717","12046"
"2016/7/14","47","802","2426"
"2016/7/15","41","749","2712"
"2016/7/16","41","895","2252"
"2016/7/17","35","716","1932"
"2016/7/18","40","1055","10099"
"2016/7/19","35","841","2708"
"2016/7/20","37","888","12318"
"2016/7/21","32","827","3175"
"2016/7/22","37","811","2504"
"2016/7/23","42","883","2113"
"2016/7/24","37","744","1856"
"2016/7/25","42","838","3295"
"2016/7/26","38","737","2513"
"2016/7/27","38","941","12468"
"2016/7/28","52","1167","2798"
"2016/7/29","31","517","2133"
"2016/7/30","19","492","1302"
"2016/7/31","16","429","2371"
"2016/8/1","90","2262","6420"
"2016/8/2","32","737","2243"
"2016/8/3","46","725","8040"
"2016/8/4","37","737","2933"
"2016/8/5","34","972","8548"
"2016/8/6","36","808","2101"
"2016/8/7","32","694","1761"
"2016/8/8","42","796","3081"
"2016/8/9","45","746","2233"
"2016/8/10","47","1081","11648"
"2016/8/11","38","867","2321"
"2016/8/12","43","747","2593"
"2016/8/13","34","701","1781"
"2016/8/14","35","760","1702"
"2016/8/15","38","866","2524"
"2016/8/16","37","870","2275"
"2016/8/17","35","796","11843"
"2016/8/18","43","999","8687"
"2016/8/19","41","990","3129"
"2016/8/20","42","879","2250"
"2016/8/21","40","873","2097"
"2016/8/22","54","902","2853"
"2016/8/23","42","1003","2463"
"2016/8/24","47","926","13725"
"2016/8/25","47","1028","3100"
"2016/8/26","40","880","2339"
"2016/8/27","51","1056","2402"
"2016/8/28","60","1274","2648"
"2016/8/29","46","850","2755"
"2016/8/30","47","441","2136"
"2016/8/31","30","713","14272"
"2016/9/1","86","2426","5399"
"2016/9/2","40","868","2465"
"2016/9/3","39","819","1937"
"2016/9/4","43","841","1917"
"2016/9/5","44","922","7818"
"2016/9/6","49","1004","2636"
"2016/9/7","42","920","14109"
"2016/9/8","47","1029","2608"
"2016/9/9","45","899","2256"
"2016/9/10","54","1098","1935"
"2016/9/11","47","1016","1791"
"2016/9/12","52","1000","4230"
"2016/9/13","56","928","2724"
"2016/9/14","45","929","11669"
"2016/9/15","45","919","1550"
"2016/9/16","48","957","1640"
"2016/9/17","40","794","1449"
"2016/9/18","62","1177","9194"
"2016/9/19","49","1050","2646"
"2016/9/20","45","1069","4392"
"2016/9/21","53","981","12478"
"2016/9/22","47","1000","2333"
"2016/9/23","45","1052","2738"
"2016/9/24","20","691","3630"
"2016/9/25","25","753","1936"
"2016/9/26","70","1443","4527"
"2016/9/27","51","1165","2469"
"2016/9/28","64","1442","12651"
"2016/9/29","37","524","2337"
"2016/9/30","35","659","7507"
"2016/10/1","95","2656","5123"
"2016/10/2","48","982","1677"
"2016/10/3","45","581","1650"
"2016/10/4","46","697","1707"
"2016/10/5","49","906","3076"
"2016/10/6","77","1566","2094"
"2016/10/7","16","363","2612"
"2016/10/8","111","2729","14914"
"2016/10/9","54","758","3994"
"2016/10/10","61","1197","2869"
"2016/10/11","50","1040","4067"
"2016/10/12","50","1029","10996"
"2016/10/13","48","725","2405"
"2016/10/14","51","1092","3745"
"2016/10/15","43","919","1801"
"2016/10/16","34","406","1483"
"2016/10/17","60","1164","3460"
"2016/10/18","45","939","9579"
"2016/10/19","48","983","11292"
"2016/10/20","46","986","3637"
"2016/10/21","39","756","2570"
"2016/10/22","47","737","1974"
"2016/10/23","45","535","1714"
"2016/10/24","44","869","3564"
"2016/10/25","51","934","3951"
"2016/10/26","1005","7845","78449"
"2016/10/27","60","1259","2573"
"2016/10/28","69","1484","3065"
"2016/10/29","12","568","3769"
"2016/10/30","12","473","1121"
"2016/10/31","357","1782","3753"
"2016/11/1","441","2574","6222"
"2016/11/2","103","1047","12252"
"2016/11/3","439","973","2683"
"2016/11/4","49","982","8329"
"2016/11/5","53","933","2131"
"2016/11/6","56","1161","1985"
"2016/11/7","64","1311","3508"
"2016/11/8","211","1830","3757"
"2016/11/9","48","1180","11723"
"2016/11/10","47","1313","2910"
"2016/11/11","47","1209","2578"
"2016/11/12","48","1099","1943"
"2016/11/13","47","1050","1856"
"2016/11/14","100","2084","4129"
"2016/11/15","42","959","2401"
"2016/11/16","37","768","11915"
"2016/11/17","46","834","2319"
"2016/11/18","43","1008","8758"
"2016/11/19","45","1082","2259"
"2016/11/20","42","980","2263"
"2016/11/21","90","1787","3869"
"2016/11/22","43","995","3238"
"2016/11/23","44","992","12248"
"2016/11/24","48","975","2578"
"2016/11/25","45","1117","3673"
"2016/11/26","48","1085","1992"
"2016/11/27","47","1318","2509"
"2016/11/28","74","1849","3997"
"2016/11/29","36","685","2602"
"2016/11/30","34","647","12431"
"2016/12/1","54","2436","6538"
"2016/12/2","44","1132","2771"
"2016/12/3","406","1041","7922"
"2016/12/4","38","1076","2190"
"2016/12/5","100","1741","9075"
"2016/12/6","100","1172","3101"
"2016/12/7","92","1249","11989"
"2016/12/8","103","1280","3334"
"2016/12/9","100","1283","2981"
"2016/12/10","55","1167","2378"
"2016/12/11","50","1233","2141"
"2016/12/12","100","1976","6613"
"2016/12/13","100","1067","4122"
"2016/12/14","682","1710","12051"
"2016/12/15","81","996","5302"
"2016/12/16","899","2711","10947"
"2016/12/17","200","820","1901"
"2016/12/18","100","994","3453"
"2016/12/19","780","5423","9756"
"2016/12/20","1001","6431","17756"
"2016/12/21","165","1139","12236"
"2016/12/22","109","955","5221"
"2016/12/23","840","3375","6556"
"2016/12/24","110","862","3321"
"2016/12/25","84","1103","2854"
"2016/12/26","905","4638","19971"
"2016/12/27","71","1286","4361"
"2016/12/28","817","9173","12316"
"2016/12/29","100","999","2982"
"2016/12/30","605","1328","4207"
"2016/12/31","101","540","2369"
"2017/1/1","83","1748","6717"
"2017/1/2","51","1317","3620"
